dataset_name,player_id,match_id,team_id,player_name,player_name_raw,role_name,specific_position,position_status,team_name,n_touches,minute_min,minute_max,match_date
5liga,54,2500057,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,71,3.0,94.0,
5liga,54,2500061,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,110,0.0,93.0,
5liga,54,2500077,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,72,3.0,92.0,
5liga,54,2500088,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,117,1.0,95.0,
5liga,54,2500097,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,79,5.0,92.0,
5liga,74,2499733,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,99,0.0,91.0,
5liga,74,2499754,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,46,0.0,91.0,
5liga,74,2499763,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,109,0.0,93.0,
5liga,74,2499815,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,117,0.0,90.0,
5liga,74,2499828,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,66,0.0,90.0,
5liga,74,2499835,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,73,1.0,91.0,
5liga,74,2499842,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,72,0.0,91.0,
5liga,74,2499872,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,94,0.0,93.0,
5liga,74,2499887,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,106,0.0,91.0,
5liga,74,2499889,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,92,0.0,91.0,
5liga,74,2499899,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,48,0.0,92.0,
5liga,74,2499913,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,101,1.0,86.0,
5liga,74,2499931,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,90,1.0,95.0,
5liga,74,2500043,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,69,1.0,85.0,
5liga,74,2500068,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,110,1.0,93.0,
5liga,74,2500072,1612,R. Klavan,R. Klavan,Defender,CB,DEF_NEEDS_DETAIL,Liverpool,104,1.0,95.0,
5liga,77,2516788,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,93,0.0,92.0,
5liga,77,2516800,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,33,2.0,91.0,
5liga,77,2516806,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,67,0.0,91.0,
5liga,77,2516812,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,60,0.0,86.0,
5liga,77,2516823,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,74,0.0,89.0,
5liga,77,2516834,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,71,0.0,92.0,
5liga,77,2516841,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,65,0.0,89.0,
5liga,77,2516848,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,63,3.0,91.0,
5liga,77,2516860,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,43,0.0,93.0,
5liga,77,2516865,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,43,1.0,91.0,
5liga,77,2516879,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,85,0.0,93.0,
5liga,77,2516886,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,31,3.0,91.0,
5liga,77,2516895,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,70,1.0,92.0,
5liga,77,2516901,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,53,0.0,91.0,
5liga,77,2516914,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,109,0.0,92.0,
5liga,77,2516923,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,115,0.0,90.0,
5liga,77,2516932,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,50,0.0,89.0,
5liga,77,2516939,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,169,0.0,93.0,
5liga,77,2516950,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,127,0.0,92.0,
5liga,77,2516958,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,75,0.0,91.0,
5liga,77,2516968,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,71,0.0,93.0,
5liga,77,2516979,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,69,1.0,91.0,
5liga,77,2516985,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,67,0.0,92.0,
5liga,77,2517003,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,68,0.0,91.0,
5liga,77,2517017,2443,N. Moisander,N. Moisander,Defender,CB,DEF_NEEDS_DETAIL,Werder Bremen,82,0.0,93.0,
5liga,93,2499721,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,21,3.0,70.0,
5liga,93,2499730,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,40,2.0,71.0,
5liga,93,2499746,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,21,1.0,44.0,
5liga,93,2499751,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,40,0.0,92.0,
5liga,93,2499763,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,13,6.0,55.0,
5liga,93,2499790,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,29,46.0,93.0,
